central_pressurec2,central_energy_densityc2,central_baryon_density,central_cs2c2,M,R,Lambda,I,Mb
3.433131497971699219e+11,8.706605213758812500e+13,8.638497832864550000e+13,6.456258479097354980e-03,6.110934958199457645e-01,1.839706889239420434e+03,1.739193777749427500e+14,2.791103062425205735e+03,6.188714920566377176e-01
3.454370296266217041e+11,8.739495042759515625e+13,8.671002099481540625e+13,6.489774467447423020e-03,6.112863029342052723e-01,1.847300691845728579e+03,2.536081954415948125e+14,2.823307470419487345e+03,6.190666538214785186e-01
3.475740486717796021e+11,8.772588342103400000e+13,8.703707451190317188e+13,6.523497799826295102e-03,6.114377528627581437e-01,1.856211871228515292e+03,8.843821441828757500e+14,2.858054503077272784e+03,6.192196843429328412e-01
3.497242882173693848e+11,8.805665688858048438e+13,8.736396059243056250e+13,6.558003805157352865e-03,6.117171132007632739e-01,1.864445601768378538e+03,1.911408687953106562e+14,2.893161031032851497e+03,6.195025070506395837e-01
3.518878300509783325e+11,8.838242058810742188e+13,8.768586430016592188e+13,6.594558733443950035e-03,6.118798401970868550e-01,1.872162033573062672e+03,4.957501986918580000e+14,2.927137150419722275e+03,6.196667486444760176e-01
3.540647564661662598e+11,8.871019959916845312e+13,8.800975943989940625e+13,6.631339805922521410e-03,6.120638815258095944e-01,1.880396074205579907e+03,1.776744435596545000e+14,2.963492120634980438e+03,6.198543833552930815e-01
3.562551502655954590e+11,8.904000638933006250e+13,8.833565833146862500e+13,6.668348421616344425e-03,6.122879628379733763e-01,1.888549363806089559e+03,1.790181496627726875e+14,2.996999989968263435e+03,6.200802962235451021e-01
3.584590947641806030e+11,8.937185350328834375e+13,8.866357337092689062e+13,6.705585988203643065e-03,6.122606485952321043e-01,1.895981473565581837e+03,7.244775471378491250e+14,3.027475987929125495e+03,6.200526808709687643e-01
3.606766737922573242e+11,8.970573934610196875e+13,8.899350292287246875e+13,6.743056925411799150e-03,6.125154666682234295e-01,1.905055862963538402e+03,inf,3.067729954310463654e+03,6.203097453980569442e-01
3.629079716987712402e+11,9.003172501132639062e+13,8.931558429818756250e+13,6.782864898816064539e-03,6.126685494436413526e-01,1.912018760803910027e+03,1.141020980624279000e+15,3.098944678269215274e+03,6.204649623601142805e-01
3.651530733544859619e+11,9.035972736125826562e+13,8.963965820462729688e+13,6.822919141120356058e-03,6.127977629476349941e-01,1.922723660897629770e+03,9.671057231705125000e+14,3.143901562502813704e+03,6.205961519969557250e-01
3.674120641552114868e+11,9.068975887195909375e+13,8.996573696882896875e+13,6.863221175847874535e-03,6.129720583460261940e-01,1.927592036052719322e+03,inf,3.167568079584903444e+03,6.207715917972008723e-01
3.696850300250521851e+11,9.102183209667253125e+13,9.029383299368756250e+13,6.903772535946978497e-03,6.132249538564304991e-01,1.938071212263707139e+03,1.781503424148548750e+14,3.214300617495674942e+03,6.210277641007705407e-01
3.742732333295991211e+11,9.168418398270942188e+13,9.094821971717259375e+13,6.986571918075023570e-03,6.135808346945208491e-01,1.955368261619969871e+03,inf,3.292271246122107186e+03,6.213880936956154288e-01
3.789183813515516357e+11,9.234178374131521875e+13,9.159785832776507812e+13,7.071932977850086018e-03,6.141648571165450043e-01,1.975997532046406832e+03,2.258643640413106500e+15,3.390683035646599365e+03,6.219788335020495218e-01
3.812625301487548218e+11,9.267363789879132812e+13,9.192569493500348438e+13,7.115009974461184751e-03,6.141090657048957624e-01,1.985102892552254616e+03,3.364027484255299375e+14,3.429651115805258542e+03,6.219218004401683153e-01
3.836211808383281250e+11,9.300754504594115625e+13,9.225555967765668750e+13,7.158353463527552391e-03,6.141788794079839908e-01,1.993432654013609181e+03,2.611791241781078125e+14,3.469583747377860618e+03,6.219922681070053638e-01
3.859944231350894165e+11,9.333792127682200000e+13,9.258191372850981250e+13,7.202460678298329769e-03,6.143780241115590623e-01,2.003094716810437603e+03,5.814086676071635000e+14,3.514583415649818562e+03,6.221939957447326641e-01
3.883823473088701782e+11,9.366529624459839062e+13,9.290528240857637500e+13,7.247287507949486118e-03,6.144797007021096658e-01,2.012543971893756179e+03,3.434019583352264375e+14,3.558973871664776198e+03,6.222965029526071890e-01
3.907850441879491577e+11,9.399469649189331250e+13,9.323065158357731250e+13,7.292391655260540770e-03,6.145636156001990091e-01,2.021182046367163593e+03,3.771285182186931250e+14,3.599662277219359567e+03,6.223804946456837905e-01
3.932026051625070801e+11,9.432613454793940625e+13,9.355803362941734375e+13,7.337774835835411333e-03,6.147108348409591194e-01,2.030806988718880802e+03,2.436730993690005000e+14,3.646134954439692592e+03,6.225298397521095151e-01
3.956351221881028442e+11,9.465962301948040625e+13,9.388744099856379688e+13,7.383438775891461303e-03,6.149698554107123627e-01,2.040650469626209542e+03,2.020511289324021250e+14,3.697899970575402222e+03,6.227919655656096731e-01
3.980826877891712036e+11,9.499202862441440625e+13,9.421576622706446875e+13,7.429515830770850801e-03,6.150822843793191108e-01,2.054140937094919536e+03,inf,3.759321450225654644e+03,6.229053033359360780e-01
4.005453950625420532e+11,9.531873856602164062e+13,9.453843455104050000e+13,7.476199798279632713e-03,6.151971374870657261e-01,2.064089688145309538e+03,5.663760773502961250e+14,3.808736795550163151e+03,6.230220343097310209e-01
4.030233376809815063e+11,9.564746967301525000e+13,9.486309903725293750e+13,7.523172572485766971e-03,6.152749836304058917e-01,2.072366006733686845e+03,inf,3.850667518014179677e+03,6.230999479394857543e-01
4.055166098967548828e+11,9.597823444917612500e+13,9.518977203480267188e+13,7.570435940069197324e-03,6.153758836309840552e-01,2.085787735234412594e+03,5.026114121296722500e+14,3.916824308938432750e+03,6.232020225875719577e-01
4.080253065452118530e+11,9.631104547563879688e+13,9.551846596918728125e+13,7.617991698763024178e-03,6.155632535411927897e-01,2.096657164395839573e+03,4.855733420227638750e+14,3.970864308333690587e+03,6.233910482592682767e-01
4.130893554186612549e+11,9.697144384192029688e+13,9.617064849526162500e+13,7.713142310620336832e-03,6.157458622576680307e-01,2.117138267484946027e+03,inf,4.076987589567754185e+03,6.235753023844916587e-01
4.182162547834436646e+11,9.762968861109828125e+13,9.682066152602695312e+13,7.808707274576478542e-03,6.157887147831153651e-01,2.139979143836591902e+03,3.052404649350924375e+14,4.193856290837534289e+03,6.236171987544426587e-01
4.208035167872677612e+11,9.796186826966710938e+13,9.714868708237821875e+13,7.856933616181496424e-03,6.159531971525310512e-01,2.149730118291053259e+03,2.541726847126814062e+14,4.248129244724500495e+03,6.237836191116826745e-01
4.234067846842150269e+11,9.829610293159659375e+13,9.747874194306310938e+13,7.905458306260040521e-03,6.158362639509958880e-01,2.160372645106939672e+03,1.486910483060856250e+15,4.301865266480402170e+03,6.236645509567889656e-01
4.260261574934857788e+11,9.862382967687676562e+13,9.780233392830270312e+13,7.953319905570561607e-03,6.159233167386387597e-01,2.172385063115693356e+03,2.696519449367626250e+14,4.366025378750563505e+03,6.237521932133843761e-01
4.286617348468548584e+11,9.895162553126185938e+13,9.812598563394868750e+13,8.001257619460130227e-03,6.159562316188225140e-01,2.184597999260152392e+03,2.333325084470233750e+14,4.430183241455029929e+03,6.237854958246755732e-01
4.313136169924613037e+11,9.928144926894745312e+13,9.845163958544454688e+13,8.049491896250539694e-03,6.158591554161350068e-01,2.196051447710034608e+03,inf,4.492477547983816294e+03,6.236861990548159262e-01
